Lab_ID,Lab_Title,Objective,Commands,Command_Details,Task_Headers,Task_Count,Command_Count,CCNA_Topics
1,Configuration Demo 1,"Configure Router1, Router2, and Router3 so that every host in the topology can ping every other host. Switch1, Switch2, Switch3, and all six hosts have already been configured.",configure terminal; enable; end; exit; hostname host-name; interface type number; ip address ip-address subnet mask; network network-address wildcard-mask; ping ip-address; router eigrp autonomous-system-number; show ip route; show running-config; shutdown; no shutdown,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — sets the device name
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet mask — assigns an Internet Protocol (IP) address to an interface
• network network-address wildcard-mask — activates the specified routing protocol on the specified network
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• router eigrp autonomous-system-number — enters router configuration mode for EIGRP
• show ip route — displays the IP routing table
• show running-config — displays the active configuration file
• shutdown; no shutdown — disables an interface; enables an interface",Task 1: Configure Router LAN Interfaces | Task 2: Configure Router WAN Interfaces | Task 3: Configure EIGRP | Task 4: Verify Network Connectivity,4,13,"Device Basics, EIGRP, IPv4 Addressing, Interface Configuration, Routing Fundamentals, Static Routes"
2,Using NetSim Online,Learn to save and reload configurations from within NetSim. Configure Router1 with the appropriate settings.,configure terminal; enable; end; exit; hostname host-name,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — sets the device name","Task 1: Configure the Router | Task 2: Save a Configuration, and then Load the Configuration",2,5,Device Basics
3,Explore Cisco Devices,"In this lab, you will learn how to interpret a network topology diagram. You will also learn how to navigate the Cisco IOS. The routers, switches, servers, and laptops in this lab have already been configured.",configure terminal; enable; end; exit; interface type number; show clock; show history; show version,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• show clock — displays the system clock
• show history — displays the session command history
• show version — displays the system hardware version and software status",Task 1: Learn About Network Topology Diagrams | Task 2: Navigate the Cisco IOS,2,8,"Device Basics, Interface Configuration"
4,Router Basics,"In this lab, you will learn the basic operation of a router. A router is used to forward packets between computer networks. Routers create separate broadcast domains.",ping ip-address; show ip route,"• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show ip route — displays the routing table",Task 1: Explore a Broadcast Domain | Task 2: Explore a Router’s Role in a Broadcast Domain | Task 3: Exploring How a Router Forwards Packets,3,2,"Routing Fundamentals, Static Routes"
5,Switch Basics,"In this lab, you will learn the basic operation of a switch. Switches provide network connectivity to endpoint devices. Switches can operate at Layer 2 or Layer 3.",enable; ping ip-address; ipconfig /all; show ip arp; show mac-address-table,"• enable — enters privileged EXEC mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• ipconfig /all — is used in NetSim to display the Internet Protocol (IP) addresses and MAC address on a workstation
• show ip arp — displays the IP Address Resolution Protocol (ARP) table
• show mac-address-table — displays the MAC address forwarding table",Task 1: Explore Layer 2 Switching in a Broadcast Domain | Task 2: Explore Layer 3 Switching in a Broadcast Domain,2,5,"Device Basics, IPv4 Addressing"
6,Configure a Cisco Device,"In this lab, you will learn how to configure a Cisco IOS device from an unconfigured state. You will configure both Cisco IOS routers and Layer 2 Cisco IOS switches for basic connectivity to the network. You will configure two devices manually.",configure terminal; copy running-config startup-config; enable; enable password password; enable secret password; end; exit; hostname host-name; interface type number; ip address ip-address subnet-mask,"• configure terminal — enters global configuration mode from privileged EXEC mode
• copy running-config startup-config — saves the configuration file
• enable — enters privileged EXEC mode
• enable password password — sets the enable password
• enable secret password — sets the enable secret password
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — sets the device name
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface",Task 1: Configure a Cisco Router by Using the System Configuration Dialog | Task 2: Configure a Cisco Switch by Using the System Configuration Dialog | Task 3: Manually Configure a Cisco Router and Switch,3,10,"Device Basics, IPv4 Addressing, Interface Configuration, Password Security"
7,Interpret Interface Errors,"In this lab, you will learn how to interpret interface errors, including shutdown interfaces, duplex mismatches, and speed mismatches. You will also learn how to interpret the output of the show interfaces command. The switches and computers in this lab have already been configured.",configure terminal; copy running-config startup-config; duplex {auto | full | half}; enable; end; exit; interface type number; ping ip-address; show interfaces type number; show interfaces status; shutdown; no shutdown; speed {10 | 100 | auto},"• configure terminal — enters global configuration mode from privileged EXEC mode
• copy running-config startup-config — saves the configuration file
• duplex {auto | full | half} — configures the duplex of an interface
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces type number — display the interface status and configuration for an interface
• show interfaces status — display the line status for all interfaces
• shutdown; no shutdown — disables an interface; enables an interface
• speed {10 | 100 | auto} — configures the speed of an interface",Task 1: Troubleshoot Shut-down Interfaces | Task 2: Troubleshoot Duplex Mismatches | Task 3: Troubleshoot Speed Mismatches,3,12,"Device Basics, Interface Configuration"
8,Configure Global IPv4 Addressing,"In this lab, you will learn about global unicast Internet Protocol version 4 (IPv4) addressing. IP is a routed protocol and a logical addressing method that operates at the Network layer of the Open Systems Interconnection (OSI) model. IPv4 supports unicast, multicast, and broadcast addressing of packets.",configure terminal; enable; end; exit; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; ip routing; ping ip-address; shutdown; no shutdown; no switchport,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• ip routing — enables IPv4 routing capabilities on a router or Layer 3 switch
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• shutdown; no shutdown — disables an interface; enables an interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port",Task 1: Explore Global IPv4 Addressing | Task 2: Configure Global IPv4 Addressing,2,12,"Device Basics, IPv4 Addressing, Interface Configuration"
9,Configure RFC 1918 IP Addressing,"In this lab, you will learn about Internet Protocol version 4 (IPv4) addressing by using ranges defined by Request for Comments (RFC) 1918. IP is a routed protocol and a logical addressing method that operates at the Network layer of the Open Systems Interconnection (OSI) model. IPv4 supports unicast, multicast, and broadcast addressing of packets.",configure terminal; enable; end; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; no switchport; ping ip-address,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address",Task 1: Explore RFC 1918 IPv4 Addressing | Task 2: Configure RFC 1918 IPv4 Addressing,2,9,"Device Basics, IPv4 Addressing, Interface Configuration"
10,Subnet an IPv4 Network,"Subnetting is a technique used to divide a network into smaller subnetworks. In this lab, you will learn how to subnet a network. You will also practice subnetting a network into a series of smaller networks.",configure terminal; enable; end; exit; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; no switchport; ping ip-address; shutdown; no shutdown,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• shutdown; no shutdown — disables an interface; enables an interface",Task 1: Explore Subnetting | Task 2: Subnet and Configure an IP Address Range,2,11,"Device Basics, IPv4 Addressing, Interface Configuration"
