Done,Day,Type,Task Title,Est_Time
TRUE,1,Lecture,Network Devices,0.6
TRUE,1,PT Lab,Packet Tracer Introduction,0.7
TRUE,2,Lecture,Interfaces and Cables,0.7
TRUE,2,PT Lab,Connecting Devices,0.3
TRUE,3,Lecture,How the TCP/IP Model Actually Works,0.9
TRUE,3,PT Lab,OSI Model,0.4
TRUE,4,Lecture,Intro to the CLI,0.6
TRUE,4,PT Lab,Basic Device Security,0.4
TRUE,4,Boson Lab,Demo Labs -> Using NetSim Online,0.4
TRUE,4,Boson Lab,Network Fundamentals -> Explore Cisco Devices,1
TRUE,4,Boson Lab,Network Fundamentals -> Router Basics,0.3
TRUE,4,Boson Lab,Network Fundamentals -> Configure a Cisco Device,1.5
FALSE,4,Boson Lab,Security Fundamentals -> Configure the Enable Password,0.5
FALSE,4,Boson Lab,Security Fundamentals -> Configure the Enable Secret Password,0.5
FALSE,4,Boson Lab,Security Fundamentals -> Configure Local User Accounts,0.7
FALSE,4,Boson Lab,Security Fundamentals -> Secure the Console and VTY Ports,0.6
FALSE,4,Boson Lab,Security Fundamentals -> Encrypt Passwords on a Cisco Device,0.5
FALSE,4,Boson Lab,Security Fundamentals -> Explore Password Complexity,0.2
FALSE,4,Boson Lab,Security Fundamentals -> Implement Passwords,0.9
FALSE,4,Boson Lab,Security Fundamentals -> Implement Local User Accounts,1.2
TRUE,5,Lecture,Ethernet LAN Switching (Part 1),0.8
TRUE,6,Lecture,Ethernet LAN Switching (Part 2),0.7
TRUE,6,PT Lab,Analyzing Ethernet Switching,0.4
TRUE,7,Lecture,IPv4 Addressing (Part 1),0.8
TRUE,7,Boson Lab,Network Fundamentals -> Configure RFC 1918 IP Addressing,0.6
TRUE,8,Lecture,IPv4 Addressing (Part 2),0.6
TRUE,8,PT Lab,Configuring IP Addresses,0.4
TRUE,8,Boson Lab,Network Fundamentals -> Configure Global IPv4 Addressing,0.9
FALSE,8,Boson Lab,Network Fundamentals -> Implement IPv4 Addressing,0.7
TRUE,9,Lecture,Switch Interfaces,0.7
TRUE,9,PT Lab,Configuring Interfaces,0.4
TRUE,9,Boson Lab,Network Fundamentals -> Switch Basics,0.2
TRUE,9,Boson Lab,Network Fundamentals -> Interpret Interface Errors,1.1
FALSE,9,Boson Lab,Network Fundamentals -> Explore the MAC Address Table,0.2
TRUE,10,Lecture,IPv4 Header,0.6
TRUE,11,Lecture,Routing Fundamentals,0.6
TRUE,11,Lecture,Static Routing,0.8
TRUE,11,PT Lab,Configuring Static Routes,0.6
TRUE,11,PT Lab,Troubleshooting Static Routes,0.4
TRUE,11,Boson Lab,IP Connectivity -> Explore the Routing Table,0.4
TRUE,11,Boson Lab,IP Connectivity -> Route Selection by Using Administrative Distance,0.4
TRUE,11,Boson Lab,IP Connectivity -> Route Selection by Using Routing Protocol Metric,0.3
FALSE,11,Boson Lab,IP Connectivity -> Manually Configure Default Routes on IPv4 Networks,0.8
FALSE,11,Boson Lab,IP Connectivity -> Manually Configure Network Routes on IPv4 Networks,0.7
FALSE,11,Boson Lab,IP Connectivity -> Manually Configure Host Routes on IPv4 Networks,0.7
FALSE,11,Boson Lab,IP Connectivity -> Implement Route Selection,0.6
FALSE,11,Boson Lab,IP Connectivity -> Implement Static and Default Routes,1.2
TRUE,12,Lecture,The Life of a Packet,0.4
TRUE,12,PT Lab,Life of a Packet,0.7
TRUE,13,Lecture,Subnetting (Part 1),0.6
TRUE,13,Boson Lab,Network Fundamentals -> Subnet an IPv4 Network,1.1
TRUE,14,Lecture,Subnetting (Part 2),0.5
TRUE,15,Lecture,Subnetting (Part 3 - VLSM),0.5
TRUE,15,PT Lab,Subnetting (VLSM),0.7
TRUE,15,Boson Lab,Network Fundamentals -> Configure VLSM on an IPv4 Network,1
TRUE,16,Lecture,VLANs (Part 1),0.5
TRUE,16,PT Lab,VLANs (Part 1),0.4
FALSE,16,Boson Lab,Network Access -> Explore and Configure Switch Access Ports,1.2
TRUE,17,Lecture,VLANs (Part 2),0.8
TRUE,17,PT Lab,VLANs (Part 2),1.1
FALSE,17,Boson Lab,Network Access -> Explore and Configure Switch Trunk Ports,0.8
TRUE,18,Lecture,VLANs (Part 3),0.7
TRUE,18,PT Lab,VLANs (Part 3),1.1
FALSE,18,Boson Lab,Network Access -> Configure InterVLAN Routing,0.6
FALSE,18,Boson Lab,Network Access -> Explore the Native VLAN,0.4
FALSE,18,Boson Lab,Network Access -> Implement InterVLAN Routing,0.5
TRUE,19,Lecture,DTP/VTP,0.8
