Done,Date,Day_Type,Jeremy_Days,Lectures_Total_Hrs,Lectures,PT_Labs,Boson_Labs,Total_Est_Hrs
TRUE,08/16/2026,Sunday,1,0.6,Network Devices,Packet Tracer Introduction,,1.3
TRUE,08/17/2026,Monday,"2, 3",1.6,Interfaces and Cables | How the TCP/IP Model Actually Works,Connecting Devices,,2
TRUE,08/18/2026,Tuesday,"3, 4",0.6,Intro to the CLI,OSI Model | Basic Device Security,Demo Labs -> Using NetSim Online,1.7
TRUE,08/19/2026,Wednesday,"4, 5",0.8,Ethernet LAN Switching (Part 1),,Network Fundamentals -> Explore Cisco Devices | Network Fundamentals -> Router Basics | Network Fundamentals -> Configure a Cisco Device,1.8
TRUE,08/20/2026,Thursday,"6, 7",1.5,Ethernet LAN Switching (Part 2) | IPv4 Addressing (Part 1),Analyzing Ethernet Switching,,2
TRUE,08/21/2026,Friday,"7, 8, 9, 10, 11",3.4,IPv4 Addressing (Part 2) | Switch Interfaces | IPv4 Header | Routing Fundamentals | Static Routing,Configuring IP Addresses | Configuring Interfaces,Network Fundamentals -> Configure RFC 1918 IP Addressing | Network Fundamentals -> Configure Global IPv4 Addressing | Network Fundamentals -> Switch Basics | Network Fundamentals -> Interpret Interface Errors,5.6
TRUE,08/22/2026,Saturday,"11, 12, 13, 14, 15",2,The Life of a Packet | Subnetting (Part 1) | Subnetting (Part 2) | Subnetting (Part 3 - VLSM),Configuring Static Routes | Troubleshooting Static Routes | Life of a Packet | Subnetting (VLSM),IP Connectivity -> Explore the Routing Table | IP Connectivity -> Route Selection by Using Administrative Distance | IP Connectivity -> Route Selection by Using Routing Protocol Metric | Network Fundamentals -> Subnet an IPv4 Network,5.6
TRUE,08/23/2026,Sunday,"15, 16",0.9,VLANs (Part 1),VLANs (Part 1),Network Fundamentals -> Configure VLSM on an IPv4 Network,1.5
TRUE,08/24/2026,Monday,17,1.9,VLANs (Part 2),VLANs (Part 2),,1.9
TRUE,08/25/2026,Tuesday,18,1.8,VLANs (Part 3),VLANs (Part 3),,1.8
TRUE,08/26/2026,Wednesday,19,1.5,DTP/VTP,DTP/VTP,,1.5
TRUE,08/27/2026,Thursday,20,0.8,Spanning Tree Protocol (Part 1),Analyzing STP,Network Access -> Explore Spanning Tree Protocol Port Roles,1.9
TRUE,08/28/2026,Friday,"21, 22",3.5,Spanning Tree Protocol (Part 2) | PortFast (STP Toolkit) | BPDU Guard & BPDU Filter (STP Toolkit) | Root Guard (STP Toolkit) | Loop Guard (STP Toolkit) | Rapid Spanning Tree Protocol,Configuring STP (PVST+) | Rapid STP,Network Access -> Explore Spanning Tree Protocol Port States and PortFast | Network Access -> Implement PVST+,5.7
TRUE,08/29/2026,Saturday,"23, 24, 25",2.7,EtherChannel | Dynamic Routing | RIP & EIGRP,Configuring EtherChannel | Floating Static Routes,Network Access -> Configure Layer 2 EtherChannel LACP | Network Access -> Configure Layer 3 EtherChannel LACP and Load Balancing,5.7
TRUE,08/30/2026,Sunday,25,0,,Configuring EIGRP,Demo Labs -> Configuration Demo 1,1.7
TRUE,08/31/2026,Monday,26,0.8,OSPF Part 1,Configuring OSPF (1),,1.9
TRUE,09/01/2026,Tuesday,"26, 27",0.8,OSPF Part 2,,IP Connectivity -> Explore and Configure OSPFv2 Router IDs | IP Connectivity -> Plan and Configure Single-Area OSPF,1.8
TRUE,09/02/2026,Wednesday,27,0,,Configuring OSPF (2),IP Connectivity -> Configure OSPFv2 Adjacencies | IP Connectivity -> Implement Single-Area OSPFv2,1.7
TRUE,09/03/2026,Thursday,28,1,OSPF Part 3,,,1
TRUE,09/04/2026,Friday,28,0,,Configuring OSPF (3),IP Connectivity -> Configure Point-to-Point OSPFv2 | IP Connectivity -> Explore OSPFv2 DR and BDR Router Selection,1.8
TRUE,09/05/2026,Saturday,"28, 29, 30",1.5,First Hop Redundancy Protocols | TCP & UDP,Configuring HSRP | Wireshark Demo (TCP/UDP),IP Connectivity -> Troubleshoot an OSPFv2 Configuration | IP Connectivity -> Boson CCNA Challenge Lab 3,5.4
FALSE,09/06/2026,Sunday,"31, 32",1.6,IPv6 Part 1 | IPv6 Part 2,Configuring IPv6 (Part 1) | Configuring IPv6 (Part 2),Network Fundamentals -> Configure IPv6 Address Types | Network Fundamentals -> Implement IPv6 Addressing | Network Fundamentals -> Configure IPv6 by Using Modified EUI-64,5.1
FALSE,09/07/2026,Monday (Holiday),"33, 34",3.0,IPv6 Part 3 | Standard ACLs,Configuring IPv6 (Part 3),Network Fundamentals -> Boson CCNA Challenge Lab 1 | IP Connectivity -> Manually Configure Default Routes on IPv6 Networks | IP Connectivity -> Manually Configure Network Routes on IPv6 Networks | IP Connectivity -> Manually Configure Host Routes on IPv6 Networks,5.3
FALSE,09/08/2026,Tuesday,34,0.0,,Standard ACLs,Security Fundamentals -> Explore and Configure Standard Numbered ACLs | Security Fundamentals -> Explore and Configured Numbered IP ACLs,1.8
FALSE,09/09/2026,Wednesday,34,0.0,,,Security Fundamentals -> Configure Standard Named ACLs | Security Fundamentals -> Implement Standard ACLs,1.7
FALSE,09/10/2026,Thursday,"34, 35",1.9,Extended ACLs,,Security Fundamentals -> Troubleshooting ACLs 2: Standard ACLs,1.6
FALSE,09/11/2026,Friday,35,0.0,,Extended ACLs,Security Fundamentals -> Explore and Configure Extended Numbered ACLs | Security Fundamentals -> Configure Extended Named ACLs,1.7
FALSE,09/12/2026,Saturday,"35, 36",1.9,CDP & LLDP,CDP & LLDP,Security Fundamentals -> Implement Extended ACLs | Security Fundamentals -> Troubleshoot ACLs | Security Fundamentals -> Troubleshooting ACLs 1: Extended ACLs | Security Fundamentals -> Troubleshooting ACLs 3: Named ACLs | Network Access -> Configure and Verify CDP,5.4
FALSE,09/13/2026,Sunday,"36, 37",1.6,NTP,NTP,Network Access -> Configure and Verify LLDP | Network Access -> Implement CDP and LLDP | IP Services -> Configure an NTP Server | IP Services -> Configure an NTP Client,5.0
FALSE,09/14/2026,Monday,37,0.0,,,IP Services -> Implement NTP,1.5
FALSE,09/15/2026,Tuesday,38,1.3,DNS,DNS,IP Services -> Configure and Test a DNS Server,1.9
FALSE,09/16/2026,Wednesday,38,0.0,,,IP Services -> Implement DNS,1.2
FALSE,09/17/2026,Thursday,39,1.5,DHCP,DHCP,,1.5
