Video_ID,Day,Type,Title,Full_Title,Duration,Duration_Seconds,Study_Time_Estimate_Seconds,CCNA_Topics,YouTube_URL
H8W9oMNSuwo,1,Lecture,Network Devices,Free CCNA | Network Devices | Day 1 | CCNA 200-301 Complete Course,30:26,1826,2282,Network Devices,https://www.youtube.com/watch?v=H8W9oMNSuwo
6Atw8oMtVTA,1,Extra,Anki Flashcards,Free CCNA | Anki Flashcards | Day 1 Extra | CCNA 200-301 Complete Course,14:56,896,896,,https://www.youtube.com/watch?v=6Atw8oMtVTA
a1Im6GYaSno,1,Lab,Packet Tracer Introduction,Free CCNA | Packet Tracer Introduction | Day 1 Lab | CCNA 200-301 Complete Course,15:18,918,918,,https://www.youtube.com/watch?v=a1Im6GYaSno
ieTH5lVhNaY,2,Lecture,Interfaces and Cables,Free CCNA | Interfaces and Cables | Day 2 | CCNA 200-301 Complete Course,35:52,2152,2690,Cables & Interfaces,https://www.youtube.com/watch?v=ieTH5lVhNaY
K6Qt23sY68Y,2,Lab,Connecting Devices,Free CCNA | Connecting Devices | Day 2 Lab | CCNA 200-301 Complete Course,5:33,333,333,,https://www.youtube.com/watch?v=K6Qt23sY68Y
yM-XNq9ADlI,3,Lecture,How the TCP/IP Model Actually Works,How the TCP/IP Model Actually Works | CCNA Day 3,42:42,2562,3202,"OSI/TCP-IP Model, TCP/UDP",https://www.youtube.com/watch?v=yM-XNq9ADlI
7nmYoL0t2tU,3,Lab,OSI Model,Free CCNA | OSI Model | Day 3 Lab | CCNA 200-301 Complete Course,8:05,485,485,OSI/TCP-IP Model,https://www.youtube.com/watch?v=7nmYoL0t2tU
IYbtai7Nu2g,4,Lecture,Intro to the CLI,Free CCNA | Intro to the CLI | Day 4 | CCNA 200-301 Complete Course,31:06,1866,2332,CLI,https://www.youtube.com/watch?v=IYbtai7Nu2g
SDocmq1c05s,4,Lab,Basic Device Security,Free CCNA | Basic Device Security | Day 4 Lab | CCNA 200-301 Complete Course,10:26,626,626,Security,https://www.youtube.com/watch?v=SDocmq1c05s
u2n762WG0Vo,5,Lecture,Ethernet LAN Switching (Part 1),Free CCNA | Ethernet LAN Switching (Part 1) | Day 5 | CCNA 200-301 Complete Course,38:13,2293,2866,"Cables & Interfaces, Ethernet Switching, Network Devices",https://www.youtube.com/watch?v=u2n762WG0Vo
5q1pqdmdPjo,6,Lecture,Ethernet LAN Switching (Part 2),Free CCNA | Ethernet LAN Switching (Part 2) | Day 6 | CCNA 200-301 Complete Course,33:41,2021,2526,"Cables & Interfaces, Ethernet Switching, Network Devices",https://www.youtube.com/watch?v=5q1pqdmdPjo
Ig0dSaOQDI8,6,Lab,Analyzing Ethernet Switching,Free CCNA | Analyzing Ethernet Switching | Day 6 Lab | CCNA 200-301 Complete Course,10:29,629,629,"Cables & Interfaces, Ethernet Switching, Network Devices",https://www.youtube.com/watch?v=Ig0dSaOQDI8
3ROdsfEUuhs,7,Lecture,IPv4 Addressing (Part 1),Free CCNA | IPv4 Addressing (Part 1) | Day 7 | CCNA 200-301 Complete Course,40:21,2421,3026,IPv4,https://www.youtube.com/watch?v=3ROdsfEUuhs
FiAatRd84XI,8,Lecture,IPv4 Addressing (Part 2),Free CCNA | IPv4 Addressing (Part 2) | Day 8 | CCNA 200-301 Complete Course,30:42,1842,2302,IPv4,https://www.youtube.com/watch?v=FiAatRd84XI
e1jbvyMeS5I,8,Lab,Configuring IP Addresses,Free CCNA | Configuring IP Addresses | Day 8 Lab | CCNA 200-301 Complete Course,10:06,606,606,IPv4,https://www.youtube.com/watch?v=e1jbvyMeS5I
cCqluocfQe0,9,Lecture,Switch Interfaces,Free CCNA | Switch Interfaces | Day 9 | CCNA 200-301 Complete Course,32:28,1948,2435,"Cables & Interfaces, Network Devices",https://www.youtube.com/watch?v=cCqluocfQe0
rzDb5DoBKRk,9,Lab,Configuring Interfaces,Free CCNA | Configuring Interfaces | Day 9 Lab | CCNA 200-301 Complete Course,11:54,714,714,Cables & Interfaces,https://www.youtube.com/watch?v=rzDb5DoBKRk
aQB22y4liXA,10,Lecture,IPv4 Header,Free CCNA | IPv4 Header | Day 10 | CCNA 200-301 Complete Course,30:11,1811,2263,IPv4,https://www.youtube.com/watch?v=aQB22y4liXA
aHwAm8GYbn8,11,Lecture,Routing Fundamentals,Free CCNA | Routing Fundamentals | Day 11 (part 1) | CCNA 200-301 Complete Course,31:00,1860,2325,Routing,https://www.youtube.com/watch?v=aHwAm8GYbn8
