Day,Lecture_Titles,Lecture_Duration_Min,Lab_Titles,Lab_Duration_Min,PT_Attempt_Min,Other_Titles,Other_Duration_Min,Boson_Lab_IDs,Boson_Lab_Titles,Boson_Estimated_Min,Total_Estimated_Min
1,Free CCNA | Network Devices | Day 1 | CCNA 200-301 Complete Course,30.4,Free CCNA | Packet Tracer Introduction | Day 1 Lab | CCNA 200-301 Complete Course,15.3,25,Free CCNA | Anki Flashcards | Day 1 Extra | CCNA 200-301 Complete Course,14.9,,,0,85.7
2,Free CCNA | Interfaces and Cables | Day 2 | CCNA 200-301 Complete Course,35.9,Free CCNA | Connecting Devices | Day 2 Lab | CCNA 200-301 Complete Course,5.5,15,,0.0,,,0,56.4
3,How the TCP/IP Model Actually Works | CCNA Day 3,42.7,Free CCNA | OSI Model | Day 3 Lab | CCNA 200-301 Complete Course,8.1,15,,0.0,,,0,65.8
4,Free CCNA | Intro to the CLI | Day 4 | CCNA 200-301 Complete Course,31.1,Free CCNA | Basic Device Security | Day 4 Lab | CCNA 200-301 Complete Course,10.4,15,,0.0,2; 3; 4; 6; 76; 77; 78; 79; 80; 81; 89; 90,Using NetSim Online | Explore Cisco Devices | Router Basics | Configure a Cisco Device | Configure the Enable Password | Configure the Enable Secret Password | Configure Local User Accounts | Secure the Console and VTY Ports | Encrypt Passwords on a Cisco Device | Explore Password Complexity | Implement Passwords | Implement Local User Accounts,207,263.5
5,Free CCNA | Ethernet LAN Switching (Part 1) | Day 5 | CCNA 200-301 Complete Course,38.2,,0.0,0,,0.0,,,0,38.2
6,Free CCNA | Ethernet LAN Switching (Part 2) | Day 6 | CCNA 200-301 Complete Course,33.7,Free CCNA | Analyzing Ethernet Switching | Day 6 Lab | CCNA 200-301 Complete Course,10.5,15,,0.0,,,0,59.2
7,Free CCNA | IPv4 Addressing (Part 1) | Day 7 | CCNA 200-301 Complete Course,40.4,,0.0,0,,0.0,9,Configure RFC 1918 IP Addressing,19,59.4
8,Free CCNA | IPv4 Addressing (Part 2) | Day 8 | CCNA 200-301 Complete Course,30.7,Free CCNA | Configuring IP Addresses | Day 8 Lab | CCNA 200-301 Complete Course,10.1,15,,0.0,8; 15,Configure Global IPv4 Addressing | Implement IPv4 Addressing,43,98.8
9,Free CCNA | Switch Interfaces | Day 9 | CCNA 200-301 Complete Course,32.5,Free CCNA | Configuring Interfaces | Day 9 Lab | CCNA 200-301 Complete Course,11.9,15,,0.0,5; 7; 14,Switch Basics | Interpret Interface Errors | Explore the MAC Address Table,63,122.4
10,Free CCNA | IPv4 Header | Day 10 | CCNA 200-301 Complete Course,30.2,,0.0,0,,0.0,,,0,30.2
11,Free CCNA | Routing Fundamentals | Day 11 (part 1) | CCNA 200-301 Complete Course | Free CCNA | Static Routing | Day 11 (part 2) | CCNA 200-301 Complete Course,68.7,Free CCNA | Configuring Static Routes | Day 11 Lab 1 | CCNA 200-301 Complete Course | Free CCNA | Troubleshooting Static Routes | Day 11 Lab 2 | CCNA 200-301 Complete Course,22.2,15,,0.0,34; 35; 36; 37; 39; 41; 50; 51,Explore the Routing Table | Route Selection by Using Administrative Distance | Route Selection by Using Routing Protocol Metric | Manually Configure Default Routes on IPv4 Networks | Manually Configure Network Routes on IPv4 Networks | Manually Configure Host Routes on IPv4 Networks | Implement Route Selection | Implement Static and Default Routes,138,244.0
12,Free CCNA | The Life of a Packet | Day 12 | CCNA 200-301 Complete Course,20.2,Free CCNA | Life of a Packet | Day 12 Lab | CCNA 200-301 Complete Course,15.6,25,,0.0,,,0,60.8
13,Free CCNA | Subnetting (Part 1) | Day 13 | CCNA 200-301 Complete Course,28.9,,0.0,0,,0.0,10,Subnet an IPv4 Network,21,49.9
14,Free CCNA | Subnetting (Part 2) | Day 14 | CCNA 200-301 Complete Course,24.8,,0.0,0,,0.0,,,0,24.8
15,Free CCNA | Subnetting (Part 3 - VLSM) | Day 15 | CCNA 200-301 Complete Course,23.9,Free CCNA | Subnetting (VLSM) | Day 15 Lab | CCNA 200-301 Complete Course,15.0,25,,0.0,11,Configure VLSM on an IPv4 Network,33,96.9
16,Free CCNA | VLANs (Part 1) | Day 16 | CCNA 200-301 Complete Course,23.8,Free CCNA | VLANs (Part 1) | Day 16 Lab | CCNA 200-301 Complete Course,11.0,15,,0.0,18,Explore and Configure Switch Access Ports,26,75.8
17,Free CCNA | VLANs (Part 2) | Day 17 | CCNA 200-301 Complete Course,40.0,Free CCNA | VLANs (Part 2) | Day 17 Lab | CCNA 200-301 Complete Course,23.4,40,,0.0,19,Explore and Configure Switch Trunk Ports,31,134.4
18,Free CCNA | VLANs (Part 3) | Day 18 | CCNA 200-301 Complete Course,32.5,Free CCNA | VLANs (Part 3) | Day 18 Lab | CCNA 200-301 Complete Course,25.3,40,,0.0,20; 21; 30,Configure InterVLAN Routing | Explore the Native VLAN | Implement InterVLAN Routing,81,178.8
19,Free CCNA | DTP/VTP | Day 19 | CCNA 200-301 Complete Course,37.6,Free CCNA | DTP/VTP | Day 19 Lab | CCNA 200-301 Complete Course,18.8,25,,0.0,22,Configure and Verify VTP,24,105.4
20,Free CCNA | Spanning Tree Protocol (Part 1) | Day 20 | CCNA 200-301 Complete Course,38.6,Free CCNA | Analyzing STP | Day 20 Lab | CCNA 200-301 Complete Course,18.9,25,,0.0,27,Explore Spanning Tree Protocol Port Roles,22,104.6
21,Free CCNA | Spanning Tree Protocol (Part 2) | Day 21 | CCNA 200-301 Complete Course,42.3,Free CCNA | Configuring STP (PVST+) | Day 21 Lab | CCNA 200-301 Complete Course,17.1,25,PortFast (STP Toolkit) | CCNA 200-301 Day 21 (part 1) | BPDU Guard & BPDU Filter (STP Toolkit) | CCNA 200-301 Day 21 (part 2) | Root Guard (STP Toolkit) | CCNA 200-301 Day 21 (part 3) | Loop Guard (STP Toolkit) | CCNA 200-301 Day 21 (part 4),80.5,28; 32,Explore Spanning Tree Protocol Port States and PortFast | Implement PVST+,45,210.0
22,Free CCNA | Rapid Spanning Tree Protocol | Day 22 | CCNA 200-301 Complete Course,43.0,Free CCNA | Rapid STP | Day 22 Lab | CCNA 200-301 Complete Course,19.8,25,,0.0,,,0,87.8
23,Free CCNA | EtherChannel | Day 23 | CCNA 200-301 Complete Course,41.5,Free CCNA | Configuring EtherChannel | Day 23 Lab | CCNA 200-301 Complete Course,25.1,40,,0.0,25; 26; 33,Configure Layer 2 EtherChannel LACP | Configure Layer 3 EtherChannel LACP and Load Balancing | Boson CCNA Challenge Lab 2,94,200.6
24,Free CCNA | Dynamic Routing | Day 24 | CCNA 200-301 Complete Course,44.6,Free CCNA | Floating Static Routes | Day 24 Lab | CCNA 200-301 Complete Course,23.3,40,,0.0,,,0,108.0
25,Free CCNA | RIP & EIGRP | Day 25 | CCNA 200-301 Complete Course,43.7,Free CCNA | Configuring EIGRP | Day 25 Lab | CCNA 200-301 Complete Course,26.2,40,,0.0,1,Configuration Demo 1,33,142.9
26,Free CCNA | OSPF Part 1 | Day 26 | CCNA 200-301 Complete Course,39.7,Free CCNA | Configuring OSPF (1) | Day 26 Lab | CCNA 200-301 Complete Course,22.1,40,,0.0,46; 47,Explore and Configure OSPFv2 Router IDs | Plan and Configure Single-Area OSPF,59,160.8
27,Free CCNA | OSPF Part 2 | Day 27 | CCNA 200-301 Complete Course,36.9,Free CCNA | Configuring OSPF (2) | Day 27 Lab | CCNA 200-301 Complete Course,22.2,40,,0.0,43; 52,Configure OSPFv2 Adjacencies | Implement Single-Area OSPFv2,41,140.1
28,Free CCNA | OSPF Part 3 | Day 28 | CCNA 200-301 Complete Course,47.9,Free CCNA | Configuring OSPF (3) | Day 28 Lab | CCNA 200-301 Complete Course,21.4,40,,0.0,44; 45; 55; 56,Configure Point-to-Point OSPFv2 | Explore OSPFv2 DR and BDR Router Selection | Troubleshoot an OSPFv2 Configuration | Boson CCNA Challenge Lab 3,112,221.3
29,Free CCNA | First Hop Redundancy Protocols | Day 29 | CCNA 200-301 Complete Course,40.4,Free CCNA | Configuring HSRP | Day 29 Lab | CCNA 200-301 Complete Course,22.0,40,,0.0,48; 49; 53; 54,Explore HSRP | Explore VRRP | Implement HSRP | Implement VRRP,80,182.4
30,Free CCNA | TCP & UDP | Day 30 | CCNA 200-301 Complete Course,34.0,Free CCNA | Wireshark Demo (TCP/UDP) | Day 30 Lab | CCNA 200-301 Complete Course,11.2,15,,0.0,,,0,60.2
31,Free CCNA | IPv6 Part 1 | Day 31 | CCNA 200-301 Complete Course,39.4,Free CCNA | Configuring IPv6 (Part 1) | Day 31 Lab | CCNA 200-301 Complete Course,18.0,25,,0.0,12; 16,Configure IPv6 Address Types | Implement IPv6 Addressing,61,143.5
32,Free CCNA | IPv6 Part 2 | Day 32 | CCNA 200-301 Complete Course,39.5,Free CCNA | Configuring IPv6 (Part 2) | Day 32 Lab | CCNA 200-301 Complete Course,21.0,40,,0.0,13,Configure IPv6 by Using Modified EUI-64,23,123.6
